id,role,last affiliation country,first publication year,tools,disciplines
0244ae5da744e8f73a0495d7acdb87bd,Librarian,Switzerland,2001-2005,MS Word,Arts et Lettres
0246970c2b68f3f343b56595bd7b2435,Postdoc,Colombia,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie
0246d037b59bd811119c078201b14151,Professor / Associate professor / Assistant professor,United States,1991-2000,MS Word | Google Drive/Docs,Sciences sociales et économie
024f34a2db82fb292cd2b8c52fa7179c,Professor / Associate professor / Assistant professor,Argentina,2006-2010,Markdown | LaTeX,Sciences de la vie
025af48771faca8771ec07b2d9f27cc5,Professor / Associate professor / Assistant professor,Germany,2001-2005,LibreOffice | Google Drive/Docs,Arts et Lettres
025c1b43e3e25a80294b7489c3e355f0,Professor / Associate professor / Assistant professor,Turkey,before 1991,MS Word,Sciences sociales et économie
025f27f029c20ac607069d12612fda37,Other,Germany,I haven't published (yet),MS Word,Sciences de la vie | Arts et Lettres
02680532ae7213aed4ff468431cba9cd,Professor / Associate professor / Assistant professor,Australia,before 1991,MS Word | Google Drive/Docs,Ingénierie & technologie
0274508adf04fe00c6491fa6322d9830,Other,Netherlands,I haven't published (yet),MS Word,Médecine | Arts et Lettres
0276ff4cf7bf970116b271e996e2baee,PhD student,Netherlands,I haven't published (yet),MS Word | Google Drive/Docs,Sciences de la vie
027b78402dac893930ba4006c56422e8,Bachelor/Master student,Russia,2011-2016,LibreOffice | MS Word,Ingénierie & technologie
027b7a7e2e377393a03736c6f692994b,Professor / Associate professor / Assistant professor,China,2006-2010,MS Word,Sciences de la vie
027eff58c609b4c2b6800403bbff806f,PhD student,Germany,2011-2016,MS Word | Google Drive/Docs | LaTeX,Sciences sociales et économie
028b8f21d2aba89ef6e4aa35de058726,Postdoc,Germany,2001-2005,MS Word,Sciences de la vie
028be0bccc7c13ebfa2e69b15d011a6d,Other,France,before 1991,MS Word,Sciences de la vie
028d9970c6dad1030f0641606bb24150,Professor / Associate professor / Assistant professor,India,2001-2005,MS Word,Sciences de la vie
028eb80e869eb25b820dee0ebe07a2e8,PhD student,Netherlands,2011-2016,MS Word | Google Drive/Docs,Sciences de la vie
02914bdd221c5b085cf4e5b7ccee7779,Professor / Associate professor / Assistant professor,Croatia,2001-2005,MS Word | Google Drive/Docs,Sciences sociales et économie
029704dcb99ee006c43a1c2b3fc315fe,Other,United States,before 1991,MS Word | Google Drive/Docs,Sciences sociales et économie
029863c022e384f28187bcf1e1b55fe2,Librarian,United States,before 1991,MS Word | Google Drive/Docs,Sciences de la vie
029aa5b84c607f108393888fda0d08d7,PhD student,Germany,2011-2016,MS Word,Sciences sociales et économie
02a1006277e2be23657f19a1c9f686cf,Bachelor/Master student,China,I haven't published (yet),Pages | MS Word,Sciences sociales et économie
02a383614cb26fb53a2b1e01411c5d13,Librarian,Australia,I haven't published (yet),Dropbox | MS Word | Google Drive/Docs,Sciences sociales et économie | Arts et Lettres
02a5a42468ae09784bf0d84ea07ab176,Professor / Associate professor / Assistant professor,Canada,1991-2000,MS Word,Sciences de la vie
02a778313be31ced9f5e4c0e89af2ba8,Postdoc,Sweden,2001-2005,Box,Médecine
02b21b3ed3c0635557849f6c0d8a7607,Professor / Associate professor / Assistant professor,United States,2006-2010,MS Word,Sciences sociales et économie
02bd614a1fa274c2b5f1888b708a46c0,Professor / Associate professor / Assistant professor,Turkey,2006-2010,MS Word,Sciences de la vie
02c764c0da2cee06d9148d87e97b8a0a,Professor / Associate professor / Assistant professor,United Kingdom,2006-2010,MS Word | Google Drive/Docs,Sciences sociales et économie
02cc417449edd97d6d75002e3d4371d2,Publisher,South Africa,2011-2016,MS Word,Médecine
02cec98a0f5724d432152da138e636c9,Professor / Associate professor / Assistant professor,Kenya,2001-2005,MS Word,Sciences sociales et économie
02d0f8a407bdfbceeb5695c42383cc06,Industry / Government,Germany,2001-2005,Pages | MS Word,Droit
02d36e3ddabab4eb78eaec5f57350392,Other,United Kingdom,2011-2016,MS Word,Sciences sociales et économie
02d3fd1a89fe10017e9b2819ca7d43a5,Professor / Associate professor / Assistant professor,Norway,2006-2010,LaTeX,Sciences de la vie
02d5a36b9eedbd05427a92ce41db767d,Professor / Associate professor / Assistant professor,Switzerland,2006-2010,MS Word,Sciences sociales et économie
02d617d49e9f0831451a96ad5b8298ad,Professor / Associate professor / Assistant professor,India,1991-2000,MS Word,Sciences sociales et économie
02d80e2588a25c589d2090539eb1fe9a,Professor / Associate professor / Assistant professor,Serbia,2006-2010,MS Word | LaTeX,Ingénierie & technologie
02d9e0a34ba26828515832d3929f984e,Librarian,United States,2011-2016,MS Word | Google Drive/Docs,Sciences physiques | Ingénierie & technologie | Sciences sociales et économie
02da87356459e398a38048ef6f53e7c0,PhD student,United Kingdom,I haven't published (yet),MS Word | Scrivener,Sciences sociales et économie
02dc7aa098464035129635a3df317e9f,PhD student,Switzerland,2011-2016,MS Word,Ingénierie & technologie | Sciences de la vie | Médecine
02e1248e8d4ccb9fb0d7f55b195fb89d,Librarian,France,I haven't published (yet),MS Word,Sciences de la vie
02e2120970696e71957d201410091b96,Professor / Associate professor / Assistant professor,Malaysia,before 1991,MS Word,Sciences sociales et économie
02e2612da43e68619ab122ac60f3806f,PhD student,United Kingdom,I haven't published (yet),LaTeX,Sciences sociales et économie
02f2615a589e803b8853fbe4f27ccac4,PhD student,United States,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie
02f26a47750c6807d26f0e3412ead203,Postdoc,Spain,2006-2010,MS Word | Google Drive/Docs,Médecine
02f2ee9dda6173ea424b86234ee794f6,Professor / Associate professor / Assistant professor,United States,before 1991,MS Word,Arts et Lettres
02fa9fb6070fc0af7df6559f9cf71543,Professor / Associate professor / Assistant professor,Austria,2001-2005,MS Word,Sciences de la vie
02fb24cf8c7e9505d3a362b7cda8a31b,PhD student,Netherlands,2011-2016,MS Word | Google Drive/Docs | LaTeX,Ingénierie & technologie
02fbddc2a5133ad33223b45b6a2488f9,Postdoc,Switzerland,2001-2005,MS Word,Médecine
02fcab5d8c9f50fe662b4d37f818cfa1,Professor / Associate professor / Assistant professor,Norway,2001-2005,MS Word,Sciences de la vie
